sourceId,targetId,type
Minh Mạng,Gia Long,TIEN_NHIEM
Minh Mạng,Thiệu Trị,KE_NHIEM
Minh Mạng,Gia Định,SINH_TAI
Minh Mạng,Hiếu lăng,AN_TANG_TAI
Minh Mạng,Hoàng triều Nguyễn,THUOC_HOANG_TOC
Minh Mạng,Gia Long,CHA_CUA
Minh Mạng,Thuận Thiên Cao Hoàng hậu,ME_CUA
Minh Mạng,Nho giáo,THEO_TON_GIAO
Minh Mạng,Vua Việt Nam,LIEN_QUAN_TOI
Minh Mạng,John Crawfurd,LIEN_QUAN_TOI
Minh Mạng,1783,LIEN_QUAN_TOI
Minh Mạng,1868,LIEN_QUAN_TOI
Minh Mạng,Nhà Nguyễn,LIEN_QUAN_TOI
Minh Mạng,14 tháng 2,LIEN_QUAN_TOI
Minh Mạng,1820,LIEN_QUAN_TOI
Minh Mạng,20 tháng 1,LIEN_QUAN_TOI
Minh Mạng,1841,LIEN_QUAN_TOI
Minh Mạng,Gia Long,LIEN_QUAN_TOI
Minh Mạng,Thiệu Trị,LIEN_QUAN_TOI
Minh Mạng,Tá Thiên Nhân Hoàng hậu,LIEN_QUAN_TOI
Minh Mạng,Minh Mạng#Gia quyến,LIEN_QUAN_TOI
Minh Mạng,Thiệu Trị,LIEN_QUAN_TOI
Minh Mạng,Minh Mạng#Gia quyến,LIEN_QUAN_TOI
Minh Mạng,Nhà Nguyễn,LIEN_QUAN_TOI
Minh Mạng,Đăng đàn cung,LIEN_QUAN_TOI
Minh Mạng,Gia Long,LIEN_QUAN_TOI
Minh Mạng,Thuận Thiên Cao Hoàng hậu,LIEN_QUAN_TOI
Minh Mạng,1820,LIEN_QUAN_TOI
Minh Mạng,1841,LIEN_QUAN_TOI
Minh Mạng,Thánh Tổ,LIEN_QUAN_TOI
Minh Mạng,Gia Định,LIEN_QUAN_TOI
Minh Mạng,Đại Việt,LIEN_QUAN_TOI
Minh Mạng,Huế,LIEN_QUAN_TOI
Minh Mạng,Đại Nam,LIEN_QUAN_TOI
Minh Mạng,Lăng Minh Mạng,LIEN_QUAN_TOI
Minh Mạng,Huế,LIEN_QUAN_TOI
Minh Mạng,Đại Nam,LIEN_QUAN_TOI
Minh Mạng,Nho giáo,LIEN_QUAN_TOI
Minh Mạng,Phật giáo,LIEN_QUAN_TOI
Minh Mạng,hoàng đế,LIEN_QUAN_TOI
Minh Mạng,Nhà Nguyễn,LIEN_QUAN_TOI
Minh Mạng,nhà Nguyễn,LIEN_QUAN_TOI
Minh Mạng,đổi mới,LIEN_QUAN_TOI
Minh Mạng,Việt Nam,LIEN_QUAN_TOI
Minh Mạng,Đại Nam,LIEN_QUAN_TOI
Minh Mạng,Nội các,LIEN_QUAN_TOI
Minh Mạng,Cơ mật viện,LIEN_QUAN_TOI
Minh Mạng,Hà Nội,LIEN_QUAN_TOI
Minh Mạng,Gia Định thành,LIEN_QUAN_TOI
Minh Mạng,Quân đội nhà Nguyễn,LIEN_QUAN_TOI
Minh Mạng,Bắc kỳ,LIEN_QUAN_TOI
Minh Mạng,Nam kỳ,LIEN_QUAN_TOI
Minh Mạng,Nho giáo,LIEN_QUAN_TOI
Minh Mạng,1822,LIEN_QUAN_TOI
Minh Mạng,thi Hội,LIEN_QUAN_TOI
Minh Mạng,thi Đình,LIEN_QUAN_TOI
Minh Mạng,kitô giáo,LIEN_QUAN_TOI
Minh Mạng,Gia Long,LIEN_QUAN_TOI
Minh Mạng,bạo loạn,LIEN_QUAN_TOI
Minh Mạng,Phan Bá Vành,LIEN_QUAN_TOI
Minh Mạng,Lê Duy Lương,LIEN_QUAN_TOI
Minh Mạng,Nông Văn Vân,LIEN_QUAN_TOI
Minh Mạng,Lê Văn Khôi,LIEN_QUAN_TOI
