source,target,type,evidence
Gia Long,Lê Văn Thanh,ĐƯỢC_PHỤC_VỤ_BỞI,"Lương thiếu mà chờ mãi không có viện binh, các quan tướng giữ thành Quy Nhơn của Tây Sơn là Vũ Tuấn, Lê Văn Thanh, Trương Tấn Thúy và Nguyễn Đại Phác cầm hơn 1 vạn quân mở cổng thành đầu hàng."
Gia Long,Trần Trọng Kim,LIÊN_KẾT_TỚI,"Tuy nhiên, theo Trần Trọng Kim và Đại Nam thực lục thì tới tháng 12 âm lịch năm 1787, Bá Đa Lộc mới cùng Hoàng tử Cảnh từ Pháp về nước, đến tháng 6 âm lịch năm 1789 mới đến Gia Định, khi đó đã thuộc h..."
Gia Long,Nguyễn Phúc Cảnh,LÀ_CON_CỦA,"Vốn là con trai cả, Nguyễn Phúc Cảnh, cũng như người con trai thứ hai và thứ ba của Gia Long đều đã mất trước khi ông lên ngôi vua (1802) nên ông phải quyết định chọn người kế lập trong số các con chá..."
Gia Long,Nguyễn Phúc Cảnh,PHỐI_NGẪU_VỚI,"Khi ở Xiêm, người Xiêm gọi Nguyễn Ánh là Ong Chiang Su (องเชียงสือ, Chiang Sue) tức Ông Thượng Sư, sau này nhiều tài liệu khác của Thái Lan cũng hay đề cập tới Nguyễn Ánh với tên này.   == Lưu vong ở ..."
Gia Long,Nguyễn Văn Nhân,LIÊN_KẾT_TỚI,Nhưng vì có một viên quan tên là Nguyễn Văn Nhân can gián nên ông bỏ ý định đó và vùng Phú Xuân được chọn.
Gia Long,Lý Tài,LIÊN_KẾT_TỚI,"Trong thời gian ở Gia Định, nội bộ quân chúa Nguyễn xảy ra tranh chấp giữa phe ủng hộ Nguyễn Phúc Thuần của Đỗ Thanh Nhơn và phe ủng hộ Nguyễn Phúc Dương của Lý Tài, còn Nguyễn Ánh trú tại Ba Giồng (T..."
Gia Long,Nguyễn Quang Toản,LÀ_CHA_CỦA,"Tuy nhiên vận may lại đến với Nguyễn Ánh khi vua Quang Trung đột ngột qua đời (1792), con là Nguyễn Quang Toản còn nhỏ tuổi lên nối ngôi, hiệu là Cảnh Thịnh."
Gia Long,Bùi Đắc Tuyên,ĐỐI_THỦ_CỦA,"Tuy nhiên, chính lúc này nội bộ Tây Sơn lại nổ ra mâu thuẫn, các tướng tranh quyền: Tư khấu Võ Văn Dũng giết Thái sư Bùi Đắc Tuyên và Ngô Văn Sở trong khi Quang Toản bất lực không làm gì được."
Gia Long,Nguyễn Văn Hòa,ĐƯỢC_PHỤC_VỤ_BỞI,"Việc tồn tại 2 câu ca dao trái ngược nhau cho thấy lòng dân khi đó khá mâu thuẫn về việc nên ủng hộ bên nào.   === Chiến trận giằng co === Tháng 4 âm lịch năm 1793, Nguyễn Ánh cùng các tướng Võ Duy Ng..."
Gia Long,Lê Văn Duyệt,ĐƯỢC_PHỤC_VỤ_BỞI,"Việc tồn tại 2 câu ca dao trái ngược nhau cho thấy lòng dân khi đó khá mâu thuẫn về việc nên ủng hộ bên nào.   === Chiến trận giằng co === Tháng 4 âm lịch năm 1793, Nguyễn Ánh cùng các tướng Võ Duy Ng..."
Gia Long,Lê Văn Duyệt,KẾ_NHIỆM_CỦA,"Mặc dù có nhiều đình thần phản đối nhưng ông vẫn muốn chọn vị hoàng tử thứ tư là Nguyễn Phúc Đảm làm người kế vị thay vì chọn dòng đích là Mỹ Đường, bất chấp có nhiều đại thần phản đối theo nguyên tắc..."
Gia Long,Gia Khánh,LIÊN_KẾT_TỚI,"Ban đầu hoàng đế nhà Thanh là Gia Khánh không chấp nhận quốc hiệu ""Nam Việt"" để tránh lầm với nước Nam Việt của Triệu Đà lúc này đã gồm nhiều phần lãnh thổ của Trung Quốc."
Gia Long,Ngô Văn Sở,ĐỐI_THỦ_CỦA,"Tuy nhiên, chính lúc này nội bộ Tây Sơn lại nổ ra mâu thuẫn, các tướng tranh quyền: Tư khấu Võ Văn Dũng giết Thái sư Bùi Đắc Tuyên và Ngô Văn Sở trong khi Quang Toản bất lực không làm gì được."
Gia Long,Trần Quang Diệu,PHỐI_NGẪU_VỚI,"Lúc tới Nghệ An thì thấy thành đã mất, quân sĩ bỏ chạy gần hết, vợ chồng Trần Quang Diệu và Bùi Thị Xuân bị bắt."
Gia Long,Trần Quang Diệu,LÀ_ÔNG_BÀ_CỦA,"Dòng họ của tướng Trần Quang Diệu bị truy sát, con cháu của ông phải dùng cách ""sanh vi Nguyễn, tử vi Trần"", tức là đổi họ từ Trần sang Nguyễn, nhưng khi mất sẽ ghi trên bia mộ là họ Trần (để nhắc nhở..."
Gia Long,Đỗ Thanh Nhơn,NHIẾP_CHÍNH_CHO,"Tháng 1 năm 1780, Nguyễn Ánh xưng vương, dùng theo niên hiệu Cảnh Hưng của nhà Lê và lấy ấn ""Đại Việt quốc Nguyễn chúa Vĩnh Trấn chi bửu"" làm ấn truyền quốc, phong cho Đỗ Thanh Nhơn chức Ngoại hữu, Ph..."
Gia Long,Đỗ Thanh Nhơn,ĐỐI_THỦ_CỦA,"Thấy vậy, tướng Tống Phúc Thiêm bèn bày mưu để giết Đỗ Thanh Nhơn."
Gia Long,Nguyễn Văn Bảo,LÀ_CHA_CỦA,Nguyễn Nhạc cho con là Nguyễn Văn Bảo ra chống giữ và cầu cứu Phú Xuân.
Gia Long,Trịnh Hoài Đức,LIÊN_KẾT_TỚI,"Nguyễn Ánh cho đặt nhóm quan điền toán gồm 12 người (một số vị nổi bật là Trịnh Hoài Đức, Lê Quang Định, Ngô Tòng Châu, Hoàng Minh Khánh) để đi bốn dinh miền Nam là Phiên Trấn, Trấn Biên, Trấn Vĩnh, T..."
Gia Long,Trương Văn Đa,PHỐI_NGẪU_VỚI,"Tháng 7 âm lịch, dò biết được Ánh đang đóng ở ngoài đảo (là đảo nào thì sử liệu chép khác nhau: Huỳnh Minh ghi rằng Phú Quốc, Tạ Chí Đại Trường cho là Cổ Long còn Thực lục thì lại chép là Côn Lôn), Ng..."
Gia Long,Nguyễn Văn Hưng,LIÊN_KẾT_TỚI,Thái úy Tây Sơn là Nguyễn Văn Hưng từ Quy Nhơn mang hơn 30 chiến thuyền tới tiếp ứng cho Phạm Văn Tham.
Gia Long,Tôn Thất Xuân,PHỐI_NGẪU_VỚI,"Ngọc Thông là con gái Tôn Thất Xuân, trước theo Xuân trốn sang Xiêm, rồi Xuân bị vua Taksin giết; Ngọc Thông sau gả cho vua mới là Rama I."
Gia Long,Phạm Văn Nhân,LÀ_ANH_CHỊ_EM_CỦA,"Tháng 7 âm lịch năm 1787, khi nghe tin phong phanh rằng Đệ nhị vương nước Xiêm (Kromphraratchawang Bawon Sathanmongkhon, em trai của Rama I, sử nhà Nguyễn gọi là Sô Sy) có ý muốn ra tay tận diệt lực l..."
Gia Long,Nguyễn Phúc Thuần,ĐỐI_THỦ_CỦA,"Theo phân tích của các sử gia, cuộc báo thù này có nhiều nguyên nhân:   Trả thù cho những việc Tây Sơn đã làm với các chúa Nguyễn là gia tộc của Nguyễn Ánh: Chúa Nguyễn Phúc Thuần, Nguyễn Phúc Dương c..."
