nodeId,label
Ngô Văn Sở (nhà Nguyễn),NhanVat
Étienne Richaud,NhanVat
Viện Sử học,NhanVat
Giáp Tý,NhanVat
Phạm Quỳnh,NhanVat
Đại Việt Quốc dân đảng,NhanVat
Sơn Nam Hạ,NhanVat
Nguyễn Phúc Tấn,NhanVat
Nguyễn Phúc Đoan Cẩn,NhanVat
Pierre Paul Rheinart,NhanVat
Phan Huy Lê,NhanVat
Xamneua,NhanVat
19 tháng 4,NhanVat
Ý,NhanVat
Hưng Hóa,NhanVat
Cuộc nổi dậy Tạ Văn Phụng,NhanVat
Danh sách Toàn quyền Đông Dương,NhanVat
Thể loại:Hoàng tử Đồng Khánh,NhanVat
Thể loại:Người Huế,NhanVat
Mạc Tử Sanh,NhanVat
Guy Georges Vĩnh San,NhanVat
tháng ba,NhanVat
svay Rieng (tỉnh),NhanVat
Kỷ Mão,NhanVat
Bắc kỳ,NhanVat
16 tháng 6,NhanVat
Bồi Lăng,NhanVat
nhà Trần,NhanVat
Nhật đảo chính Pháp tại Đông Dương,NhanVat
Việt Nam Dân chủ Cộng hoà,NhanVat
Công Tôn Ưng Phương,NhanVat
Đại sứ,NhanVat
Pháp,NhanVat
Trà Ôn (thị trấn),NhanVat
Ngô Thị Chính,NhanVat
hoàng thành Thăng Long,NhanVat
Võ Văn Dũng,NhanVat
wikt:dinh#Tiếng Việt,NhanVat
Thể loại:Hoàng tử Dục Đức,NhanVat
Lê Ngọc Bình,NhanVat
Nguyễn Nhược Thị Bích,NhanVat
Gia Định thành thông chí,NhanVat
Quốc hội Việt Nam khóa I,NhanVat
Quý Dậu,NhanVat
Giáo hội Công giáo Rôma,NhanVat
Xương Lăng,NhanVat
Nguyễn Thị Yên,NhanVat
30 tháng 1,NhanVat
Nguyễn Thị Định (Thành Thái),NhanVat
Savannakhet,NhanVat
cửa Tư Hiền,NhanVat
27 tháng 1,NhanVat
Lê Đắc Lộc,NhanVat
Đế quốc La Mã,NhanVat
Đại học British Columbia,NhanVat
Trận Kinh thành Huế 1885,NhanVat
Đế quốc Việt Nam,NhanVat
Tề Bố Sâm,NhanVat
cảng,NhanVat
GMT,NhanVat
Nguyễn Phúc Ưng Phong,NhanVat
thất ngôn bát cú,NhanVat
Võ Thị Duyên,NhanVat
Phan Rang – Tháp Chàm,NhanVat
Huy Cận,NhanVat
Nguyễn Phúc Hồng Tố,NhanVat
Tập tin:Duytanthongbao.jpg,NhanVat
Nguyễn Phúc Cảnh,NhanVat
18 tháng 7,NhanVat
Nguyễn Hữu Thị Nga,NhanVat
Thể loại:Nhà dân tộc chủ nghĩa Việt Nam,NhanVat
BBC,NhanVat
Hoắc Quang,NhanVat
Tá Thiên Nhân Hoàng hậu,NhanVat
Hiệp ước Versailles (1787),NhanVat
Phan Châu Trinh,NhanVat
Bố Trạch,NhanVat
ngà voi,NhanVat
chùa Diệu Đế,NhanVat
Ất Dậu,NhanVat
Chữ Nôm,NhanVat
Gia Long,NhanVat
Bảo Đại,NhanVat
lăng Gia Long,NhanVat
Charles Le Myre de Vilers,NhanVat
Taksin,NhanVat
Val-de-Grâce,NhanVat
Tập tin:Thieu tri imperial edict01.jpg,NhanVat
Quảng Tây,NhanVat
Nguyễn Văn Nhơn,NhanVat
23 tháng 11,NhanVat
Thể loại:Người cải cách Việt Nam,NhanVat
Nguyễn Thị Viên,NhanVat
Hà Nội,NhanVat
Nguyễn Phan Long,NhanVat
Nguyễn Văn Trương,NhanVat
tháng năm,NhanVat
Louis XVI của Pháp,NhanVat
Nguyễn Phúc Huy Nhu,NhanVat
Phạm Thận,NhanVat
Theodore Lebrun,NhanVat
Nguyễn Phúc Vĩnh Cẩn,NhanVat
Lycée Condorcet,NhanVat
"quận 16, Paris",NhanVat
Quân đội Pháp,NhanVat
Phạm Văn Lý,NhanVat
Lăng Cô,NhanVat
An Nam,NhanVat
Thiên Thọ Lăng,NhanVat
Thổ Châu,NhanVat
Francis Garnier,NhanVat
phong trào Văn Thân,NhanVat
chiến tranh Nha phiến,NhanVat
Thể loại:Mất năm 1820,NhanVat
Favin Lévêque,NhanVat
Trịnh Hoài Đức,NhanVat
Sáo (nhạc cụ),NhanVat
Huế (thành phố thuộc tỉnh),NhanVat
Bảo Chấn,NhanVat
Tương An Quận Vương,NhanVat
Tập tin:Phan Thanh Gian.jpg,NhanVat
"Khánh Bình, An Phú",NhanVat
Nguyễn Hữu Thị Nhàn,NhanVat
Phan Thanh Giản,NhanVat
Việt Thường,NhanVat
Hồ Tonlé Sap,NhanVat
Nguyễn Thị Cẩm,NhanVat
Tưởng Giới Thạch,NhanVat
Điện Kiến Trung (Hoàng thành Huế),NhanVat
Tử hình,NhanVat
hộc,NhanVat
19 tháng 12,NhanVat
Cù lao Hổ,NhanVat
Hồ Thị Hoa,NhanVat
Cửu vị thần công,NhanVat
Tập tin:Croquis au crayon de Hiệp-Hòa par de Champeaux.jpg,NhanVat
Nguyễn Văn Bảo,NhanVat
31 tháng 1,NhanVat
Nguyễn Đình Tình,NhanVat
Thượng thư,NhanVat
quần vợt,NhanVat
Đế hệ thi,NhanVat
Đại úy,NhanVat
Lấp Vò,NhanVat
Nguyễn Văn Siêu,NhanVat
Deauville,NhanVat
chủ tịch Hồ Chí Minh,NhanVat
3 tháng 9,NhanVat
"Chiến tranh Tây Sơn-Chúa Nguyễn, 1787-1802",NhanVat
hoàng phi,NhanVat
Po Phaok The,NhanVat
Lê Trinh,NhanVat
Quốc hội Việt Nam,NhanVat
cánh tả,NhanVat
Tây Sơn,NhanVat
Miền Nam (Việt Nam),NhanVat
Nguyễn Hữu Thận,NhanVat
Nguyễn Gia Thị Anh,NhanVat
Tôn Thất Đàm,NhanVat
đổi mới,NhanVat
30 tháng 8,NhanVat
Người Pháp,NhanVat
tỉnh,NhanVat
băng hà,NhanVat
23 tháng 2,NhanVat
Miếu hiệu,NhanVat
Văn Miếu Huế,NhanVat
Quảng Châu Loan,NhanVat
điểu thương,NhanVat
Thái Nguyên,NhanVat
28 tháng 1,NhanVat
thủy binh,NhanVat
nhà Thanh,NhanVat
Sưu tập tem,NhanVat
Malaysia,NhanVat
Dordogne,NhanVat
Minh Hóa,NhanVat
Quốc kỳ Việt Nam,NhanVat
22 tháng 11,NhanVat
Phong trào Cần Vương,NhanVat
22 tháng 12,NhanVat
Đặng Đức Siêu,NhanVat
Nguyễn Phúc Thuần,NhanVat
Hồ Văn Chiêm,NhanVat
Vincent Auriol,NhanVat
Nguyễn Văn Thị Hương,NhanVat
sử,NhanVat
Nguyễn Đình Chiểu,NhanVat
Đoàn Đức Nghị,NhanVat
Giết người,NhanVat
Khổng giáo,NhanVat
Nguyễn Phúc Khoát,NhanVat
Dục Đức đường,NhanVat
sông Tiền,NhanVat
địa lý,NhanVat
Người Khmer (Việt Nam),NhanVat
Người Hoa (Việt Nam),NhanVat
Battambang,NhanVat
Nữ quan,NhanVat
Mỹ Tho,NhanVat
Tập tin:Duy Tan gia.jpg,NhanVat
Phạm Thị Hoài (Khải Định),NhanVat
Lê Duy Cận,NhanVat
thành Bát Quái,NhanVat
hiệp ước Versailles năm 1787,NhanVat
Nguyễn Phúc Vĩnh Khôi,NhanVat
ngoại giao,NhanVat
Ất Tỵ,NhanVat
Hoa Kỳ,NhanVat
Trung Hoa,NhanVat
Mạc Ngọc Liễn,NhanVat
sông Hậu,NhanVat
nhà Minh,NhanVat
Quốc sử quán (nhà Nguyễn),NhanVat
Bắc đẩu Bội tinh,NhanVat
Olivier de Puymanel,NhanVat
Thể loại:Phong trào Cần vương,NhanVat
Thừa Thiên Huế,NhanVat
Biên Hòa (trấn),NhanVat
Hoàng thành Huế,NhanVat
cân,NhanVat
Xuân Thu,NhanVat
Thân Vạn Đồng,NhanVat
Trần Văn Giàu,NhanVat
Nguyễn Phúc Ngọc Tuyền,NhanVat
Trần Hưng Đạo,NhanVat
Ba Trắc,NhanVat
Pondicherry,NhanVat
Liên bang Đông Dương,NhanVat
Đại học Huế,NhanVat
Bửu tỷ triều Nguyễn,NhanVat
Marseille,NhanVat
Đà Lạt,NhanVat
Nguyễn Thị Nhậm,NhanVat
Thể loại:Sinh năm 1864,NhanVat
Thể loại:Sinh tại Huế,NhanVat
lãnh hải,NhanVat
18 tháng 9,NhanVat
nhân phẩm,NhanVat
Thể loại:Sinh năm 1762,NhanVat
phủ Trà Lân,NhanVat
thế tục,NhanVat
quân Cờ Đen,NhanVat
Đinh Mùi,NhanVat
cửa Thị Nại,NhanVat
quân đội,NhanVat
Đại Việt,NhanVat
